age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
999,blue-collar,married,basic.4y,unknown,no,yes,cellular,105.0,1,999.0,0,nonexistent,no
36,blue-collar,married,basic.6y,no,yes,no,cellular,125.0,5,999.0,0,nonexistent,no
999,admin.,single,high.school,no,no,yes,telephone,111.0,1,999.0,0,nonexistent,no
39,blue-collar,married,basic.6y,unknown,no,no,cellular,173.0,2,999.0,0,nonexistent,no
41,housemaid,married,basic.4y,unknown,no,no,cellular,107.0,1,999.0,0,nonexistent,no
35,admin.,single,professional.course,unknown,yes,no,telephone,352.0,4,999.0,0,nonexistent,no
999,technician,single,professional.course,no,yes,no,cellular,306.0,4,999.0,0,nonexistent,no
32,technician,divorced,high.school,no,no,no,cellular,50.0,1,999.0,0,nonexistent,no
25,technician,single,university.degree,no,no,no,cellular,216.0,2,999.0,0,nonexistent,no
32,admin.,married,university.degree,no,yes,yes,cellular,384.0,1,999.0,0,nonexistent,yes
32,blue-collar,single,basic.4y,unknown,no,no,cellular,136.0,2,999.0,0,nonexistent,no
55,blue-collar,married,basic.4y,unknown,yes,no,telephone,262.0,1,999.0,0,nonexistent,no
39,admin.,married,high.school,no,no,no,cellular,148.0,1,999.0,1,failure,no
999,admin.,married,university.degree,no,no,no,cellular,109.0,1,999.0,0,nonexistent,no
30,self-employed,single,university.degree,no,unknown,unknown,cellular,148.0,2,999.0,0,nonexistent,no
34,technician,married,high.school,no,yes,no,cellular,135.0,3,999.0,0,nonexistent,no
56,retired,married,basic.6y,no,yes,yes,telephone,37.0,3,999.0,0,nonexistent,no
42,management,divorced,unknown,no,no,no,cellular,251.0,2,15.0,2,failure,no
49,technician,married,professional.course,no,no,no,telephone,736.0,2,999.0,0,nonexistent,yes
999,admin.,single,basic.9y,no,no,no,cellular,185.0,1,999.0,0,nonexistent,no
32,admin.,divorced,university.degree,no,yes,no,cellular,668.0,1,999.0,0,nonexistent,no
38,admin.,married,high.school,unknown,no,no,cellular,203.0,1,,0,nonexistent,no
